month,year,zcta,desc_crime_type,population,count,rate
Jan,2023,78212,sex crimes,26670,1,3.749531308586427
Jan,2023,78212,theft,26670,47,176.22797150356206
Jan,2023,78212,weapon,26670,4,14.998125234345707
Jan,2023,78213,arson,41603,1,2.403672812056823
Jan,2023,78213,assault,41603,37,88.93589404610245
Jan,2023,78213,burglary,41603,27,64.89916592553422
Jan,2023,78213,drugs,41603,28,67.30283873759105
Jan,2023,78213,homicide,41603,1,2.403672812056823
Jan,2023,78213,mvt,41603,81,194.69749777660266
Jan,2023,78213,other,41603,112,269.2113549503642
Jan,2023,78213,robbery,41603,3,7.211018436170468
Jan,2023,78213,sex crimes,41603,3,7.211018436170468
Jan,2023,78213,theft,41603,40,96.14691248227291
Jan,2023,78213,weapon,41603,3,7.211018436170468
Jan,2023,78214,assault,21884,46,210.19923231584718
Jan,2023,78214,burglary,21884,9,41.125936757448365
Jan,2023,78214,drugs,21884,33,150.79510144397733
Jan,2023,78214,mvt,21884,43,196.49058673003108
Jan,2023,78214,other,21884,56,255.89471760190094
Jan,2023,78214,robbery,21884,2,9.139097057210748
Jan,2023,78214,sex crimes,21884,3,13.708645585816122
Jan,2023,78214,theft,21884,39,178.2123926156096
Jan,2023,78214,weapon,21884,11,50.26503381465911
Jan,2023,78215,assault,3258,19,583.1798649478208
Jan,2023,78215,burglary,3258,3,92.08103130755065
Jan,2023,78215,drugs,3258,10,306.9367710251688
Jan,2023,78215,mvt,3258,71,2179.2510742786985
Jan,2023,78215,other,3258,32,982.1976672805401
Jan,2023,78215,robbery,3258,1,30.69367710251688
Jan,2023,78215,sex crimes,3258,2,61.38735420503376
Jan,2023,78215,theft,3258,18,552.4861878453038
Jan,2023,78215,weapon,3258,1,30.69367710251688
Jan,2023,78216,arson,42044,1,2.3784606602606795
Jan,2023,78216,assault,42044,52,123.67995433355532
Jan,2023,78216,burglary,42044,32,76.11074112834174
Jan,2023,78216,drugs,42044,39,92.7599657501665
Jan,2023,78216,mvt,42044,201,478.0705927123965
Jan,2023,78216,other,42044,151,359.1475596993626
Jan,2023,78216,robbery,42044,2,4.756921320521359
Jan,2023,78216,sex crimes,42044,5,11.892303301303397
Jan,2023,78216,theft,42044,55,130.81533631433737
Jan,2023,78216,weapon,42044,12,28.54152792312815
Jan,2023,78217,arson,33959,2,5.889454930946141
Jan,2023,78217,assault,33959,57,167.84946553196502
Jan,2023,78217,burglary,33959,14,41.226184516622986
Jan,2023,78217,drugs,33959,16,47.11563944756913
Jan,2023,78217,mvt,33959,91,267.9701993580494
Jan,2023,78217,other,33959,92,270.9149268235225
Jan,2023,78217,robbery,33959,2,5.889454930946141
Jan,2023,78217,sex crimes,33959,1,2.9447274654730706
Jan,2023,78217,theft,33959,36,106.01018875703053
Jan,2023,78217,weapon,33959,3,8.83418239641921
Jan,2023,78218,assault,38291,74,193.25690109947507
Jan,2023,78218,burglary,38291,25,65.28949361468753
Jan,2023,78218,drugs,38291,24,62.67791387010003
Jan,2023,78218,mvt,38291,86,224.59585803452507
Jan,2023,78218,other,38291,87,227.20743777911258
Jan,2023,78218,robbery,38291,4,10.446318978350003
Jan,2023,78218,sex crimes,38291,3,7.8347392337625035
Jan,2023,78218,theft,38291,45,117.52108850643754
Jan,2023,78218,weapon,38291,3,7.8347392337625035
Jan,2023,78219,arson,16946,1,5.901097604154373
Jan,2023,78219,assault,16946,38,224.24170895786617
Jan,2023,78219,burglary,16946,6,35.40658562492624
Jan,2023,78219,drugs,16946,14,82.61536645816122
Jan,2023,78219,homicide,16946,1,5.901097604154373
Jan,2023,78219,mvt,16946,61,359.9669538534168
Jan,2023,78219,other,16946,38,224.24170895786617
Jan,2023,78219,robbery,16946,3,17.70329281246312
Jan,2023,78219,theft,16946,18,106.21975687477871
Jan,2023,78219,weapon,16946,2,11.802195208308746
Jan,2023,78220,assault,18497,49,264.9078228901984
Jan,2023,78220,burglary,18497,9,48.656538898199706
Jan,2023,78220,drugs,18497,9,48.656538898199706
Jan,2023,78220,homicide,18497,1,5.406282099799967
Jan,2023,78220,mvt,18497,40,216.2512839919987
Jan,2023,78220,other,18497,69,373.03346488619775
Jan,2023,78220,robbery,18497,5,27.031410498999836
Jan,2023,78220,sex crimes,18497,4,21.62512839919987
Jan,2023,78220,theft,18497,31,167.594745093799
Jan,2023,78220,weapon,18497,4,21.62512839919987
Jan,2023,78221,assault,41580,53,127.46512746512747
Jan,2023,78221,burglary,41580,14,33.670033670033675
Jan,2023,78221,drugs,41580,21,50.505050505050505
Jan,2023,78221,homicide,41580,1,2.405002405002405
Jan,2023,78221,mvt,41580,69,165.94516594516594
Jan,2023,78221,other,41580,79,189.99518999518997
Jan,2023,78221,robbery,41580,8,19.24001924001924
Jan,2023,78221,sex crimes,41580,1,2.405002405002405
Jan,2023,78221,theft,41580,44,105.82010582010582
Jan,2023,78221,weapon,41580,2,4.81000481000481
Jan,2023,78222,assault,25008,28,111.96417146513116
Jan,2023,78222,burglary,25008,13,51.983365323096606
Jan,2023,78222,drugs,25008,8,31.98976327575176
Jan,2023,78222,mvt,25008,27,107.96545105566219
Jan,2023,78222,other,25008,51,203.93474088291745
Jan,2023,78222,robbery,25008,2,7.99744081893794
Jan,2023,78222,sex crimes,25008,2,7.99744081893794
Jan,2023,78222,theft,25008,35,139.95521433141394
Jan,2023,78222,weapon,25008,4,15.99488163787588
Jan,2023,78223,arson,57298,1,1.7452616147160458
Jan,2023,78223,assault,57298,70,122.16831303012322
Jan,2023,78223,burglary,57298,24,41.8862787531851
Jan,2023,78223,drugs,57298,25,43.63154036790115
Jan,2023,78223,mvt,57298,107,186.7429927746169
Jan,2023,78223,other,57298,155,270.51555028098716
Jan,2023,78223,robbery,57298,8,13.962092917728366
