zcta,year,month,desc_crime_type,count,population,city,rate
78602,2023,Oct,other,6.154197858287577e-4,35786,austin,0.0017197221981466433
78610,2016,Jan,burglary,0.13485764240874426,30452,austin,0.4428531538445562
78610,2016,Jan,drugs,4.4643962754628033e-5,30452,austin,1.4660437000731653e-4
78610,2016,Jan,other,0.13768391712225342,30452,austin,0.45213423460611263
78610,2016,Jan,theft,2.4639941948934133e-4,30452,austin,8.091403503524935e-4
78610,2016,Feb,assault,4.4815487622405466e-4,30452,austin,0.0014716763306976707
78610,2016,Feb,burglary,2.6562327273698923e-4,30452,austin,8.722687269702785e-4
78610,2016,Feb,drugs,1.0000223219813609,30452,austin,3.283929863330359
78610,2016,Feb,other,0.34183930491627446,30452,austin,1.122551244306694
78610,2016,Feb,theft,0.06739987415456604,30452,austin,0.22133151896284659
78610,2016,Mar,assault,2.2321981377314017e-5,30452,austin,7.330218500365826e-5
78610,2016,Mar,burglary,9.82657269713337e-4,30452,austin,0.0032269055225053757
78610,2016,Mar,drugs,9.442095632180413e-4,30452,austin,0.003100648769269806
78610,2016,Mar,other,1.2304250511318493,30452,austin,4.040539377156999
78610,2016,Mar,theft,0.06826099204853416,30452,austin,0.2241593066088735
78610,2016,Apr,assault,2.2407743811202733e-4,30452,austin,7.358381653488354e-4
78610,2016,Apr,burglary,2.2407743811202733e-4,30452,austin,7.358381653488354e-4
78610,2016,Apr,drugs,0.06731678248531611,30452,austin,0.22105865783960368
78610,2016,Apr,other,0.9633181598460172,30452,austin,3.163398659680866
78610,2016,Apr,sex crimes,2.2407743811202733e-4,30452,austin,7.358381653488354e-4
78610,2016,Apr,theft,0.06739677602643637,30452,austin,0.2213213451544607
78610,2016,May,assault,0.06754085992342813,30452,austin,0.22179449600495246
78610,2016,May,burglary,3.844770649529572e-5,30452,austin,1.262567532355698e-4
78610,2016,May,other,0.005255392489693851,30452,austin,0.01725795510867546
78610,2016,May,theft,0.06754085992342813,30452,austin,0.22179449600495246
78610,2016,Jun,assault,2.2407743811202733e-4,30452,austin,7.358381653488354e-4
78610,2016,Jun,burglary,0.06798901479965219,30452,austin,0.2232661723356502
78610,2016,Jun,other,1.6104839050980448,30452,austin,5.288598138375295
78610,2016,Jun,theft,0.13465278882387988,30452,austin,0.44218044405582513
78610,2016,Jul,assault,0.06735832831994107,30452,austin,0.2211950884012251
78610,2016,Jul,burglary,1.922385324764786e-5,30452,austin,6.31283766177849e-5
78610,2016,Jul,other,0.06893322436287024,30452,austin,0.22636682110491999
78610,2016,Jul,theft,0.06733600633856376,30452,austin,0.22112178621622147
78610,2016,Aug,assault,2.4330129135967518e-4,30452,austin,7.989665419666203e-4
78610,2016,Aug,burglary,0.06754085992342813,30452,austin,0.22179449600495246
78610,2016,Aug,drugs,9.442095632180413e-4,30452,austin,0.003100648769269806
78610,2016,Aug,other,0.40915298927346083,30452,austin,1.3435997283379115
78610,2016,Aug,robbery,0.06731678248531611,30452,austin,0.22105865783960368
78610,2016,Aug,sex crimes,2.2321981377314017e-5,30452,austin,7.330218500365826e-5
78610,2016,Aug,theft,0.06893322436287024,30452,austin,0.22636682110491999
78610,2016,Sep,assault,0.13465588695200953,30452,austin,0.44219061786421093
78610,2016,Sep,burglary,2.2407743811202733e-4,30452,austin,7.358381653488354e-4
78610,2016,Sep,other,0.20602815855992312,30452,austin,0.6765669202677103
78610,2016,Sep,theft,0.06852351719314148,30452,austin,0.2250214015274579
78610,2016,Oct,burglary,2.2407743811202733e-4,30452,austin,7.358381653488354e-4
78610,2016,Oct,other,0.27329036761362596,30452,austin,0.8974463667858464
78610,2016,Oct,theft,0.13485764240874426,30452,austin,0.4428531538445562
78610,2016,Nov,burglary,0.0011203871905601367,30452,austin,0.0036791908267441767
78610,2016,Nov,other,0.07174027522313174,30452,austin,0.2355847734898586
78610,2016,Nov,theft,0.13465588695200953,30452,austin,0.44219061786421093
78610,2016,Dec,assault,2.4639941948934133e-4,30452,austin,8.091403503524935e-4
78610,2016,Dec,burglary,8.963097524481093e-4,30452,austin,0.0029433526613953415
78610,2016,Dec,drugs,9.442095632180413e-4,30452,austin,0.003100648769269806
78610,2016,Dec,homicide,0.06731678248531611,30452,austin,0.22105865783960368
78610,2016,Dec,other,0.1382277139001317,30452,austin,0.45391998522307797
78610,2016,Dec,theft,0.13602592941007433,30452,austin,0.44668964077917483
78610,2017,Jan,assault,0.06733910446669343,32692,austin,0.20598037583107007
78610,2017,Jan,burglary,6.722323143360819e-4,32692,austin,0.0020562593733515293
78610,2017,Jan,drugs,9.442095632180413e-4,32692,austin,0.002888197611703295
78610,2017,Jan,other,0.07151619778501972,32692,austin,0.21875748741288303
78610,2017,Jan,sex crimes,0.06826099204853416,32692,austin,0.2088002937982814
78610,2017,Jan,theft,0.0011396110438077847,32692,austin,0.00348590188366507
78610,2017,Feb,assault,0.06733910446669343,32692,austin,0.20598037583107007
78610,2017,Feb,burglary,0.06776493736154017,32692,austin,0.20728293576881243
78610,2017,Feb,drugs,9.442095632180413e-4,32692,austin,0.002888197611703295
78610,2017,Feb,other,0.6875248777404114,32692,austin,2.103037066378354
78610,2017,Feb,theft,0.20243695003866768,32692,austin,0.619224733998127
78610,2017,Mar,assault,0.06754085992342813,32692,austin,0.20659751597769524
78610,2017,Mar,burglary,0.13463356497063222,32692,austin,0.41182419237315626
78610,2017,Mar,other,0.0694931468658665,32692,austin,0.212569273418165
78610,2017,Mar,robbery,2.2407743811202733e-4,32692,austin,6.854197911171765e-4
